Number of points,Value of pi,,Mean,Std. Dev.
1,0,,Err:507,
2,1.04443644867098,,,
3,1.39258193156131,,,
4,1.56665467300648,,,
5,1.67109831787357,,,
6,1.74072741445164,,,
7,2.08887289734197,,,
8,2.08887289734197,,,
9,2.08887289734197,,,
10,2.08887289734197,,,
11,2.08887289734197,,,
12,2.08887289734197,,,
13,2.08887289734197,,,
14,2.08887289734197,,,
15,2.08887289734197,,,
16,2.08887289734197,,,
17,2.08887289734197,,,
18,2.08887289734197,,,
19,2.08887289734197,,,
20,2.20492139163874,,,
25,2.27877043346396,,,
24,2.2878131732793,,,
23,2.29776018707616,,,
22,2.30875425495691,,,
21,2.32096988593552,,,
26,2.37371920152496,,,
40,2.39606008812755,,,
32,2.39833554880004,,,
39,2.40536879087863,,,
31,2.4102379584715,,,
38,2.41525928755165,,,
52,2.42119358555546,,,
30,2.42309256091668,,,
37,2.42578788078422,,,
51,2.42892197365345,,,
50,2.4370183802323,,,
29,2.4370183802323,,,
36,2.4370183802323,,,
49,2.44550973347352,,,
35,2.44902339688369,,,
62,2.45040859111269,,,
28,2.45215514035796,,,
48,2.45442565437681,,,
41,2.45749752628467,,,
61,2.45749752628467,,,
54,2.46022807909165,,,
34,2.46188591472446,,,
47,2.46379880199309,,,
60,2.46487001886352,,,
27,2.46866796958596,,,
53,2.46866796958596,,,
59,2.47254342950682,,,
46,2.47366527316812,,,
33,2.47570121166455,,,
58,2.48053656559359,,,
45,2.48406506710937,,,
57,2.48886983513086,,,
63,2.49057922375388,,,
44,2.49504262738068,,,
56,2.49756542073496,,,
43,2.50664747681036,,,
55,2.50664747681036,,,
42,2.51893496444178,,,
64,2.53074985639508,,,
68,2.54462698403476,,,
67,2.55306687452907,,,
66,2.56182525145713,,,
65,2.57092048903627,,,
69,2.58260649125916,,,
72,2.6019293984435,,,
71,2.61109112167746,,,
70,2.62058599848356,,,
73,2.63857629137933,,,
76,2.65534690340081,,,
75,2.66511369660872,,,
79,2.67101780315858,,,
74,2.67522318431515,,,
78,2.68072021825553,,,
82,2.68569372515396,,,
77,2.69075152877948,,,
81,2.69531986753802,,,
80,2.70526162114779,,,
88,2.71241704580226,,,
83,2.71885043781018,,,
87,2.72186468441529,,,
86,2.73160301960104,,,
85,2.74164567776133,,,
89,2.74359425322527,,,
84,2.7520071504664,,,
91,2.76468471707025,,,
90,2.77477146064829,,,
92,2.79540343614881,,,
94,2.81543738337396,,,
93,2.82612215522737,,,
95,2.84571090362529,,,
110,2.84608932262843,,,
102,2.85102922475052,,,
98,2.85381226819959,,,
109,2.85567434067003,,,
101,2.86146972238626,,,
112,2.86252952598714,,,
97,2.86473997349756,,,
108,2.86550512840501,,,
104,2.8687187790163,,,
100,2.87220023384521,,,
111,2.87220023384521,,,
107,2.87559126127596,,,
96,2.87598442387662,,,
103,2.87925723687677,,,
99,2.88323301323257,,,
106,2.88594281869614,,,
113,2.88831808027531,,,
120,2.89041714864761,,,
116,2.89422148426899,,,
105,2.89657041764753,,,
119,2.89984708101591,,,
115,2.90404280849981,,,
122,2.90521402963653,,,
118,2.90950153558346,,,
125,2.91033976708319,,,
139,2.91176222053729,,,
114,2.91410663456349,,,
121,2.91470636838414,,,
128,2.91524019738934,,,
117,2.91938862761046,,,
124,2.91967461787571,,,
138,2.92015905036581,,,
127,2.92442205627875,,,
141,2.92442205627876,,,
151,2.92832649160089,,,
137,2.92872901070626,,,
130,2.92896308431645,,,
123,2.92922406293931,,,
140,2.93286194677307,,,
133,2.93331087711851,,,
126,2.9338102490758,,,
150,2.93624586513163,,,
136,2.93747751188714,,,
129,2.93819484461288,,,
153,2.93989518885166,,,
146,2.94064631179209,,,
132,2.94239085539567,,,
149,2.94431608387249,,,
142,2.94531078525217,,,
135,2.94641019204025,,,
152,2.94784866821156,,,
145,2.9489970315416,,,
131,2.95166822450495,,,
148,2.95254149912759,,,
158,2.95453193588008,,,
175,2.95499092794717,,,
134,2.95553292921789,,,
144,2.95751311207823,,,
154,2.95923660456779,,,
171,2.95923660456779,,,
